playlist_genre,danceability,energy,valence,liveness,speechiness,acousticness,track_popularity,track_name,track_artist
hip-hop,0.638,0.752,0.242,0.17,0.0385,0.0066,72,GEEK TIMË,Yeat
hip-hop,0.654,0.826,0.417,0.131,0.354,0.0153,71,Many Men (Wish Death),50 Cent
hip-hop,0.898,0.472,0.214,0.141,0.0776,0.0107,88,Not Like Us,Kendrick Lamar
hip-hop,0.882,0.764,0.886,0.119,0.204,0.359,81,BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby"
hip-hop,0.64,0.552,0.112,0.119,0.129,0.0215,84,Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti"
hip-hop,0.848,0.632,0.253,0.282,0.277,0.398,68,"Bent (with Kyle Richh, Jenn Carter & TaTa)","41, Kyle Richh, Jenn Carter, TaTa"
hip-hop,0.548,0.805,0.649,0.408,0.351,0.212,76,Dior,Pop Smoke
hip-hop,0.772,0.631,0.433,0.129,0.0431,0.0648,70,SAY MY GRACE (feat. Travis Scott),"Offset, Travis Scott"
hip-hop,0.871,0.702,0.675,0.0912,0.253,0.296,69,6locc 6a6y,Lil Loaded
hip-hop,0.787,0.57,0.733,0.135,0.225,0.0449,69,All My Life (feat. J. Cole),"Lil Durk, J. Cole"
hip-hop,0.709,0.583,0.533,0.195,0.204,0.138,79,Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown"
hip-hop,0.82,0.592,0.4,0.121,0.29,0.0149,78,Took Her To The O,King Von
hip-hop,0.85,0.68,0.694,0.0964,0.338,0.732,70,Loading,Central Cee
hip-hop,0.681,0.758,0.331,0.555,0.188,0.00465,73,née-nah,"21 Savage, Travis Scott, Metro Boomin"
hip-hop,0.772,0.413,0.211,0.111,0.0891,0.0361,77,Love Sosa,Chief Keef
hip-hop,0.752,0.658,0.387,0.0927,0.342,0.0421,70,Drankin N Smokin,"Future, Lil Uzi Vert"
hip-hop,0.548,0.732,0.612,0.269,0.336,0.125,71,Invincible,Pop Smoke
hip-hop,0.594,0.676,0.472,0.163,0.344,0.135,69,GATTI,"JACKBOYS, Pop Smoke, Travis Scott"
hip-hop,0.49,0.618,0.286,0.259,0.104,0.0221,68,The Woo (feat. 50 Cent & Roddy Ricch),"Pop Smoke, 50 Cent, Roddy Ricch"
hip-hop,0.822,0.35,0.346,0.0757,0.574,0.0213,68,Neva Cared,Polo G
